time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),soil_temperature_0_to_7cm (°C),is_day ()
2023-01-08T00:00,17.4,73,0,0,7,125,20.8,0
2023-01-08T01:00,17.5,71,0,0,5,150,19.6,0
2023-01-08T02:00,16.6,76,0,0,4,100,18.7,0
2023-01-08T03:00,15.3,83,0,0,3.1,315,17.8,0
2023-01-08T04:00,13.7,90,0,0,3.8,343,17,0
2023-01-08T05:00,11.9,96,0,0,5.9,346,16.4,0
2023-01-08T06:00,11.3,99,0,0,5.1,352,15.8,0
2023-01-08T07:00,12.6,98,0,0,4,360,15.7,1
2023-01-08T08:00,15.9,87,0,0,1.6,27,16.7,1
2023-01-08T09:00,19.2,74,0,0,0.8,117,18.5,1
2023-01-08T10:00,22.3,64,0,0,1.1,108,20.7,1
2023-01-08T11:00,25.2,53,0,0,2.9,120,23.5,1
2023-01-08T12:00,27.9,42,0,0,3.3,174,25.6,1
2023-01-08T13:00,29.3,38,0,0,6.8,180,27.4,1
2023-01-08T14:00,30.3,33,0,0,8.4,173,28.8,1
2023-01-08T15:00,30.9,29,0,2,10,167,29.8,1
2023-01-08T16:00,30.9,28,0,12,10.6,170,30.2,1
2023-01-08T17:00,30.8,28,0,12,10.5,174,30.1,1
2023-01-08T18:00,30.4,29,0,14,10.4,166,29.7,1
2023-01-08T19:00,29.3,33,0,11,7.8,146,28.8,1
2023-01-08T20:00,26.4,58,0,4,6.4,128,27.5,1
2023-01-08T21:00,24,53,0,3,9.2,121,25.8,0
2023-01-08T22:00,23.3,55,0,4,6.8,87,24.2,0
2023-01-08T23:00,20.3,59,0,2,7.7,53,22.8,0
2023-01-09T00:00,19.2,62,0,1,4.5,346,21.8,0
2023-01-09T01:00,18.4,65,0,0,7.2,360,21,0
2023-01-09T02:00,17.7,64,0,0,6.1,3,20.3,0
2023-01-09T03:00,16.7,68,0,0,7.3,11,19.6,0
2023-01-09T04:00,16.5,67,0,0,6.2,21,19,0
2023-01-09T05:00,16.6,63,0,0,7.2,18,18.6,0
2023-01-09T06:00,16.8,59,0,0,7.6,25,18.2,0
2023-01-09T07:00,18.1,59,0,0,6.6,29,18.2,1
2023-01-09T08:00,20.7,53,0,0,8.2,241,19.1,1
2023-01-09T09:00,22.6,50,0,0,7.4,241,20.6,1
2023-01-09T10:00,24.7,52,0,0,10.3,216,22.5,1
2023-01-09T11:00,26,53,0,19,15.3,199,24.3,1
2023-01-09T12:00,24.7,61,0,31,19.4,190,25.8,1
2023-01-09T13:00,24.4,60,0,30,21.4,193,26.8,1
2023-01-09T14:00,24.1,61,0,30,23.2,192,27.5,1
2023-01-09T15:00,22.9,67,0,38,25.6,190,27.7,1
2023-01-09T16:00,22.3,70,0,34,24,193,27.7,1
2023-01-09T17:00,21.6,73,0,40,23.7,194,27.3,1
2023-01-09T18:00,20.8,75,0,31,23.9,196,26.6,1
2023-01-09T19:00,19.9,77,0,90,23.5,195,25.6,1
2023-01-09T20:00,18.8,81,0,90,21,193,24.3,1
2023-01-09T21:00,18.2,82,0,90,18,192,23,0
2023-01-09T22:00,17.9,80,0,90,15.6,188,22,0
2023-01-09T23:00,18.1,80,0,90,16.9,179,22,0
2023-01-10T00:00,17.9,75,0,90,15.5,176,21.3,0
2023-01-10T01:00,17.7,74,0,90,13.5,171,20.7,0
2023-01-10T02:00,16.7,80,0,25,11.1,167,20,0
2023-01-10T03:00,15.8,86,0,29,10,165,19.4,0
2023-01-10T04:00,15.7,86,0,52,9.6,160,18.8,0
2023-01-10T05:00,15.5,86,0,51,10.8,159,18.4,0
2023-01-10T06:00,15.2,86,0,37,9.5,155,18,0
2023-01-10T07:00,15.8,82,0,65,11.4,156,17.9,1
2023-01-10T08:00,17.1,73,0,90,13.6,168,18.4,1
2023-01-10T09:00,17.9,68,0,46,14.5,174,19.2,1
2023-01-10T10:00,19,63,0,50,14.4,179,20.5,1
2023-01-10T11:00,19,61,0,90,12.2,180,21,1
2023-01-10T12:00,19.9,59,0,82,11.2,182,22.2,1
2023-01-10T13:00,22.1,54,0,88,10.1,178,24,1
2023-01-10T14:00,22.1,55,0,1,12.6,193,25.5,1
2023-01-10T15:00,23.2,53,0,0,13.8,186,26.7,1
2023-01-10T16:00,23.5,53,0,0,17.8,188,27.3,1
2023-01-10T17:00,21.8,57,0,0,22.3,194,27.2,1
2023-01-10T18:00,21.1,60,0,0,22.6,202,26.5,1
2023-01-10T19:00,20.5,68,0,0,20.5,208,25.6,1
2023-01-10T20:00,19.6,75,0,0,17.4,214,24.4,1
2023-01-10T21:00,18.5,84,0,0,14.2,234,23,0
2023-01-10T22:00,18.6,86,0,0,7.9,227,21.9,0
2023-01-10T23:00,17.2,86,0,0,6.5,177,21.4,0
2023-01-11T00:00,16.4,86,0,0,6.5,174,20.4,0
2023-01-11T01:00,15.6,89,0,0,8.3,162,19.5,0
