time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),soil_temperature_0_to_7cm (°C),is_day ()
2023-08-22T00:00,22.7,83,0.00,52,17.3,358,24.1,0
2023-08-22T01:00,21.8,77,0.00,97,21.2,350,23.7,0
2023-08-22T02:00,20.8,74,0.00,70,20.5,350,23.3,0
2023-08-22T03:00,19.6,65,0.00,91,19.5,355,22.7,0
2023-08-22T04:00,19.4,58,0.00,97,18.4,1,22.3,0
2023-08-22T05:00,18.7,63,0.00,36,18.8,3,21.9,0
2023-08-22T06:00,17.8,72,0.00,31,17.4,6,21.4,1
2023-08-22T07:00,19.2,70,0.00,30,18.4,356,22.6,1
2023-08-22T08:00,20.0,65,0.00,29,18.9,9,22.8,1
2023-08-22T09:00,20.9,59,0.00,30,17.3,17,23.3,1
2023-08-22T10:00,22.0,59,0.00,33,16.1,24,24.2,1
2023-08-22T11:00,23.1,56,0.00,39,15.9,25,25.1,1
2023-08-22T12:00,24.1,51,0.00,36,16.3,31,25.8,1
2023-08-22T13:00,25.1,47,0.00,27,14.5,30,26.5,1
2023-08-22T14:00,25.7,46,0.00,34,12.3,21,27.1,1
2023-08-22T15:00,26.0,44,0.00,26,14.2,21,27.3,1
2023-08-22T16:00,25.8,44,0.00,14,16.2,21,27.0,1
2023-08-22T17:00,25.1,46,0.00,33,14.9,15,26.4,1
2023-08-22T18:00,23.7,54,0.00,21,7.3,11,25.5,1
2023-08-22T19:00,21.1,70,0.00,71,6.8,360,24.4,0
2023-08-22T20:00,20.9,71,0.00,54,6.9,354,23.4,0
2023-08-22T21:00,20.5,73,0.00,8,6.5,357,22.8,0
2023-08-22T22:00,19.6,73,0.00,2,8.7,353,22.1,0
2023-08-22T23:00,18.8,72,0.00,0,10.0,347,21.5,0
2023-08-23T00:00,18.0,74,0.00,0,10.1,358,20.9,0
2023-08-23T01:00,17.5,75,0.00,14,10.8,4,20.5,0
2023-08-23T02:00,17.5,74,0.00,1,11.3,22,20.1,0
2023-08-23T03:00,17.4,72,0.00,1,12.2,28,19.8,0
2023-08-23T04:00,17.2,71,0.00,1,12.1,27,19.5,0
2023-08-23T05:00,16.7,72,0.00,5,10.6,24,19.2,0
2023-08-23T06:00,16.7,73,0.00,5,10.8,15,19.0,1
2023-08-23T07:00,18.0,74,0.00,61,7.9,3,19.9,1
2023-08-23T08:00,19.2,67,0.00,77,8.5,12,20.4,1
2023-08-23T09:00,20.4,62,0.00,40,7.9,16,21.2,1
2023-08-23T10:00,22.2,56,0.00,2,7.6,25,22.7,1
2023-08-23T11:00,23.5,48,0.00,0,6.6,29,24.2,1
2023-08-23T12:00,24.3,44,0.00,1,6.0,33,25.5,1
2023-08-23T13:00,24.9,41,0.00,13,5.4,37,26.4,1
2023-08-23T14:00,25.0,40,0.00,20,3.1,111,27.0,1
2023-08-23T15:00,24.4,47,0.00,16,7.9,164,27.0,1
2023-08-23T16:00,23.3,57,0.00,2,11.7,171,26.6,1
2023-08-23T17:00,22.1,63,0.00,0,12.7,172,25.7,1
2023-08-23T18:00,21.1,70,0.00,0,12.6,156,24.5,1
2023-08-23T19:00,19.7,79,0.00,52,9.4,137,23.9,0
2023-08-23T20:00,19.7,78,0.00,60,8.7,142,22.9,0
2023-08-23T21:00,19.6,79,0.00,65,7.7,152,22.2,0
2023-08-23T22:00,19.6,78,0.00,60,7.7,152,21.7,0
2023-08-23T23:00,20.1,74,0.00,62,8.6,147,21.5,0
2023-08-24T00:00,20.0,73,0.00,74,9.0,151,21.3,0
2023-08-24T01:00,20.2,71,0.00,60,9.7,149,21.2,0
2023-08-24T02:00,20.0,72,0.00,60,5.9,169,21.0,0
2023-08-24T03:00,19.9,75,0.00,61,4.5,151,20.9,0
2023-08-24T04:00,20.0,74,0.00,64,6.4,137,20.8,0
2023-08-24T05:00,20.1,74,0.00,66,7.7,127,20.8,0
2023-08-24T06:00,20.4,74,0.00,54,9.4,130,20.8,1
2023-08-24T07:00,21.2,75,0.00,64,8.1,111,21.2,1
2023-08-24T08:00,21.7,74,0.00,64,10.2,122,21.5,1
2023-08-24T09:00,22.1,69,0.00,70,15.1,152,21.9,1
2023-08-24T10:00,22.0,71,0.30,75,15.5,167,22.2,1
2023-08-24T11:00,22.6,67,0.10,66,16.1,164,22.3,1
2023-08-24T12:00,23.3,63,0.00,73,20.2,175,22.7,1
2023-08-24T13:00,23.4,62,0.00,100,21.0,174,23.0,1
2023-08-24T14:00,23.1,66,0.00,100,24.0,161,23.1,1
2023-08-24T15:00,23.5,65,0.00,100,25.2,158,23.5,1
2023-08-24T16:00,23.1,67,0.00,100,24.3,159,23.3,1
2023-08-24T17:00,22.9,69,0.10,100,21.8,164,23.1,1
2023-08-24T18:00,21.5,79,0.30,76,21.3,164,22.5,1
2023-08-24T19:00,20.5,88,0.00,100,14.2,159,21.9,0
2023-08-24T20:00,20.5,86,1.60,100,15.9,167,21.2,0
2023-08-24T21:00,20.3,90,0.10,2,19.8,161,20.7,0
2023-08-24T22:00,20.2,87,0.00,100,13.1,171,20.4,0
2023-08-24T23:00,21.1,86,0.00,100,16.5,170,20.4,0
2023-08-25T00:00,22.0,81,0.00,100,19.9,185,20.6,0
2023-08-25T01:00,22.4,80,0.00,100,17.4,202,20.8,0
2023-08-25T02:00,21.9,80,0.10,100,14.0,209,20.9,0
2023-08-25T03:00,21.8,80,0.00,100,14.3,190,20.9,0
2023-08-25T04:00,22.2,77,0.00,100,18.9,201,21.0,0
2023-08-25T05:00,21.8,81,0.30,100,15.3,204,21.0,0
2023-08-25T06:00,21.8,82,0.10,73,16.9,196,20.9,1
2023-08-25T07:00,21.5,93,0.00,90,12.0,196,21.3,1
2023-08-25T08:00,21.7,93,4.80,92,16.0,194,21.3,1
2023-08-25T09:00,22.3,93,2.00,89,17.9,190,21.5,1
2023-08-25T10:00,23.1,90,0.70,100,19.2,197,22.0,1
2023-08-25T11:00,24.8,83,0.10,48,20.4,201,23.2,1
2023-08-25T12:00,25.9,78,0.00,42,21.4,193,24.4,1
2023-08-25T13:00,26.4,77,0.00,14,18.2,189,25.3,1
2023-08-25T14:00,26.0,76,0.10,90,19.1,178,25.9,1
2023-08-25T15:00,24.9,82,0.20,62,19.6,174,25.7,1
2023-08-25T16:00,24.9,82,0.00,17,17.5,172,25.5,1
2023-08-25T17:00,24.7,84,0.00,24,15.4,169,25.3,1
2023-08-25T18:00,23.8,89,0.00,19,11.2,159,24.8,1
2023-08-25T19:00,22.9,95,0.00,100,10.5,243,24.2,0
2023-08-25T20:00,22.6,97,2.50,49,4.0,180,23.5,0
2023-08-25T21:00,22.4,97,0.20,54,7.3,171,23.0,0
2023-08-25T22:00,22.0,96,0.00,10,4.7,176,22.6,0
2023-08-25T23:00,21.8,97,0.00,8,5.1,188,22.2,0
2023-08-26T00:00,21.7,97,0.00,25,5.7,198,21.9,0
2023-08-26T01:00,21.0,98,0.00,6,6.2,234,21.6,0
2023-08-26T02:00,21.5,98,0.00,28,4.2,301,21.2,0
2023-08-26T03:00,20.2,100,0.00,100,6.8,288,20.9,0
2023-08-26T04:00,20.2,100,0.00,94,3.5,294,20.7,0
2023-08-26T05:00,20.0,100,0.00,90,6.1,310,20.7,0
2023-08-26T06:00,20.2,100,0.00,92,7.3,340,20.8,1
2023-08-26T07:00,22.6,96,0.00,100,11.1,306,22.9,1
2023-08-26T08:00,22.9,94,0.80,96,11.6,16,23.2,1
2023-08-26T09:00,24.0,90,0.00,64,11.3,17,23.6,1
2023-08-26T10:00,25.8,80,0.00,11,10.5,41,24.7,1
2023-08-26T11:00,27.3,70,0.00,14,8.6,33,26.1,1
2023-08-26T12:00,27.7,68,0.20,25,9.2,11,27.1,1
2023-08-26T13:00,28.2,63,0.20,49,7.2,360,27.7,1
2023-08-26T14:00,28.7,60,0.10,19,5.0,339,28.2,1
2023-08-26T15:00,29.1,57,0.00,11,2.6,286,28.6,1
2023-08-26T16:00,27.8,67,0.00,22,7.3,200,28.4,1
2023-08-26T17:00,25.9,81,0.00,18,9.7,184,27.7,1
2023-08-26T18:00,24.1,86,0.00,8,9.7,165,26.7,1
2023-08-26T19:00,24.0,86,0.00,18,4.6,162,26.4,0
2023-08-26T20:00,23.5,85,0.00,6,7.6,199,25.3,0
2023-08-26T21:00,22.4,90,0.00,38,6.0,303,24.5,0
2023-08-26T22:00,22.0,82,1.10,6,10.0,26,23.7,0
2023-08-26T23:00,21.0,83,0.00,26,7.8,13,22.9,0
2023-08-27T00:00,20.6,84,0.00,37,9.4,356,22.3,0
2023-08-27T01:00,20.6,83,0.00,8,10.1,2,21.9,0
2023-08-27T02:00,20.2,85,0.00,2,10.7,12,21.5,0
2023-08-27T03:00,19.6,89,0.00,0,10.2,8,21.2,0
2023-08-27T04:00,19.0,91,0.00,0,10.1,4,20.9,0
2023-08-27T05:00,18.5,92,0.00,0,11.2,6,20.6,0
2023-08-27T06:00,18.6,91,0.00,1,13.0,2,20.4,1
2023-08-27T07:00,20.6,87,0.00,6,10.3,12,22.5,1
2023-08-27T08:00,22.0,82,0.00,1,9.8,8,23.1,1
2023-08-27T09:00,23.6,75,0.00,0,10.2,8,24.1,1
2023-08-27T10:00,24.9,70,0.00,3,10.1,4,25.3,1
2023-08-27T11:00,26.1,65,0.00,5,9.7,358,26.4,1
2023-08-27T12:00,26.9,57,0.00,10,10.1,354,27.4,1
2023-08-27T13:00,27.5,54,0.00,4,11.7,349,28.0,1
2023-08-27T14:00,27.9,53,0.00,5,12.7,352,28.3,1
2023-08-27T15:00,27.8,53,0.00,29,11.2,4,28.3,1
2023-08-27T16:00,27.2,54,0.00,29,6.9,9,27.9,1
2023-08-27T17:00,26.3,56,0.00,27,4.3,48,27.4,1
2023-08-27T18:00,24.8,72,0.00,22,2.2,90,26.5,1
2023-08-27T19:00,22.1,85,0.00,15,6.2,170,25.9,0
2023-08-27T20:00,21.8,87,0.00,9,6.4,207,24.8,0
2023-08-27T21:00,21.3,88,0.00,20,2.8,50,23.8,0
2023-08-27T22:00,20.1,92,0.10,56,5.4,110,23.0,0
2023-08-27T23:00,20.2,95,0.00,35,5.7,125,22.5,0
2023-08-28T00:00,19.6,97,0.00,20,4.6,135,22.1,0
2023-08-28T01:00,18.8,99,0.00,18,6.4,106,21.7,0
2023-08-28T02:00,19.2,98,0.00,54,6.0,65,21.3,0
2023-08-28T03:00,18.9,99,0.00,92,5.2,78,21.1,0
2023-08-28T04:00,19.0,99,0.00,100,7.4,67,20.9,0
2023-08-28T05:00,18.8,99,0.00,100,7.6,65,20.8,0
2023-08-28T06:00,18.9,99,0.00,100,9.3,62,20.7,1
2023-08-28T07:00,20.4,93,0.00,100,7.8,103,22.4,1
2023-08-28T08:00,21.6,87,0.10,100,12.4,112,22.5,1
2023-08-28T09:00,22.3,82,0.20,100,10.6,108,22.8,1
2023-08-28T10:00,23.9,74,0.20,87,13.1,111,23.9,1
2023-08-28T11:00,23.9,74,0.10,58,13.0,129,24.5,1
2023-08-28T12:00,24.0,72,0.00,41,13.6,130,25.0,1
2023-08-28T13:00,24.3,69,0.00,37,14.1,128,25.7,1
2023-08-28T14:00,24.6,67,0.00,33,13.8,133,26.1,1
2023-08-28T15:00,23.7,71,0.00,37,13.7,135,25.9,1
2023-08-28T16:00,22.6,77,0.00,35,15.5,134,25.3,1
2023-08-28T17:00,21.9,80,0.00,58,16.3,133,24.6,1
