time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),soil_temperature_0_to_7cm (°C),is_day ()
2023-05-22T00:00,13.8,84,0.00,31,12.6,347,15.9,0
2023-05-22T01:00,13.3,85,0.00,17,12.0,339,15.9,0
2023-05-22T02:00,12.8,84,0.00,9,11.2,339,15.3,0
2023-05-22T03:00,12.3,84,0.00,39,10.6,336,14.8,0
2023-05-22T04:00,12.1,84,0.00,68,10.9,333,14.4,0
2023-05-22T05:00,11.6,85,0.00,19,10.1,343,14.0,0
2023-05-22T06:00,11.7,86,0.00,15,10.3,348,13.8,1
2023-05-22T07:00,12.6,82,0.00,33,10.9,352,14.1,1
2023-05-22T08:00,13.8,79,0.00,19,10.9,351,14.8,1
2023-05-22T09:00,15.3,76,0.00,37,10.0,345,15.8,1
2023-05-22T10:00,16.9,72,0.00,57,10.7,340,17.0,1
2023-05-22T11:00,18.7,68,0.00,65,11.4,347,18.3,1
2023-05-22T12:00,19.7,64,0.00,100,12.1,350,19.2,1
2023-05-22T13:00,21.3,61,0.00,100,12.1,350,20.6,1
2023-05-22T14:00,20.9,62,0.00,84,15.4,349,20.8,1
2023-05-22T15:00,21.3,62,0.00,90,16.2,343,21.2,1
2023-05-22T16:00,20.8,61,0.00,98,18.1,343,20.9,1
2023-05-22T17:00,19.9,66,0.00,98,19.1,348,20.6,1
2023-05-22T18:00,19.1,66,0.00,90,17.7,354,20.0,1
2023-05-22T19:00,18.2,70,0.00,65,18.9,352,19.4,1
2023-05-22T20:00,16.9,76,0.00,100,15.9,347,18.6,1
2023-05-22T21:00,16.3,77,0.00,100,14.2,353,17.9,0
2023-05-22T22:00,16.0,79,0.00,92,12.0,353,17.3,0
2023-05-22T23:00,15.4,82,0.00,90,12.0,351,16.8,0
2023-05-23T00:00,15.3,80,0.00,90,16.6,358,16.6,0
2023-05-23T01:00,15.2,82,0.00,91,15.8,348,16.6,0
