time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),soil_temperature_0_to_7cm (°C),is_day ()
2023-06-26T00:00,15.7,73,0.00,0,20.3,264,19.7,0
2023-06-26T01:00,15.1,78,0.00,1,18.4,264,19.0,0
2023-06-26T02:00,14.6,82,0.00,0,16.2,258,18.4,0
2023-06-26T03:00,14.0,85,0.00,0,14.6,254,17.9,0
2023-06-26T04:00,13.6,87,0.00,4,14.1,251,17.4,1
2023-06-26T05:00,14.3,84,0.00,6,14.7,253,17.2,1
2023-06-26T06:00,15.7,75,0.00,25,17.8,263,17.5,1
2023-06-26T07:00,16.8,70,0.00,55,18.4,273,18.2,1
2023-06-26T08:00,17.7,64,0.00,25,17.5,278,18.9,1
2023-06-26T09:00,19.2,56,0.00,30,17.9,279,20.0,1
2023-06-26T10:00,20.1,50,0.00,52,18.8,273,20.9,1
2023-06-26T11:00,21.0,45,0.00,64,19.8,272,21.8,1
2023-06-26T12:00,21.6,42,0.00,58,20.6,274,23.1,1
2023-06-26T13:00,22.1,38,0.00,89,22.1,277,23.6,1
2023-06-26T14:00,20.8,40,0.00,67,22.3,269,22.9,1
2023-06-26T15:00,21.2,41,0.00,40,22.0,271,22.7,1
2023-06-26T16:00,21.6,39,0.00,46,22.4,276,23.0,1
2023-06-26T17:00,21.2,38,0.00,59,21.3,272,22.6,1
2023-06-26T18:00,20.7,39,0.00,36,21.6,281,22.2,1
2023-06-26T19:00,20.0,43,0.00,44,16.2,282,21.6,1
2023-06-26T20:00,18.9,47,0.00,50,12.4,278,20.8,1
2023-06-26T21:00,18.0,52,0.00,33,12.6,267,20.1,0
2023-06-26T22:00,17.3,59,0.00,34,13.0,265,19.5,0
2023-06-26T23:00,16.1,66,0.00,32,13.3,257,18.8,0
2023-06-27T00:00,15.0,72,0.00,90,11.5,266,17.6,0
2023-06-27T01:00,14.9,75,0.00,90,10.5,264,17.3,0
2023-06-27T02:00,15.0,75,0.00,89,9.6,257,17.2,0
2023-06-27T03:00,14.9,77,0.00,79,9.3,257,17.1,0
2023-06-27T04:00,14.3,81,0.00,30,8.6,248,16.8,1
2023-06-27T05:00,14.4,82,0.00,34,9.2,249,16.6,1
2023-06-27T06:00,15.5,77,0.00,33,9.2,249,17.0,1
2023-06-27T07:00,16.7,72,0.00,32,10.7,256,17.6,1
2023-06-27T08:00,18.2,64,0.00,20,10.7,258,18.7,1
2023-06-27T09:00,19.7,54,0.00,100,13.5,254,20.0,1
2023-06-27T10:00,20.0,53,0.00,100,14.3,260,20.7,1
2023-06-27T11:00,20.4,53,0.00,100,14.0,258,21.1,1
2023-06-27T12:00,20.9,52,0.00,100,14.2,249,21.8,1
2023-06-27T13:00,20.7,53,0.00,100,14.9,250,21.7,1
2023-06-27T14:00,21.3,52,0.00,100,15.7,254,22.0,1
2023-06-27T15:00,21.8,52,0.00,100,16.4,251,22.2,1
2023-06-27T16:00,21.7,53,0.00,100,16.3,248,22.0,1
2023-06-27T17:00,21.4,56,0.00,100,18.4,247,21.8,1
2023-06-27T18:00,20.5,63,0.00,100,18.8,244,21.5,1
2023-06-27T19:00,20.1,66,0.00,100,17.1,240,21.1,1
2023-06-27T20:00,19.6,69,0.00,100,16.1,236,20.7,1
2023-06-27T21:00,19.1,73,0.00,100,15.6,232,20.2,0
2023-06-27T22:00,18.7,77,0.00,38,15.5,228,19.8,0
2023-06-27T23:00,17.9,81,0.00,4,14.3,229,19.4,0
2023-06-28T00:00,16.4,91,0.00,26,12.5,221,19.8,0
2023-06-28T01:00,16.8,89,0.00,90,13.0,231,19.2,0
2023-06-28T02:00,17.3,87,0.00,97,11.6,234,18.9,0
2023-06-28T03:00,17.1,89,0.00,100,10.3,234,18.6,0
2023-06-28T04:00,16.8,91,0.00,44,10.7,225,18.4,1
2023-06-28T05:00,16.9,91,0.00,94,11.7,227,18.2,1
2023-06-28T06:00,18.2,83,0.00,98,13.2,244,18.6,1
2023-06-28T07:00,18.9,79,0.00,98,13.9,253,19.0,1
