Date,Timestamp,Player 1,Player 2
20231109,04:20,Medvedev D.,Djokovic N.
20230909,07:20,Alcaraz C.,Medvedev D.
20230909,03:15,Shelton B.,Djokovic N.
20230907,09:10,Alcaraz C.,Zverev A.
20230907,02:00,Medvedev D.,Rublev A.
20230906,09:20,Tiafoe F.,Shelton B.
20230906,01:50,Fritz T.,Djokovic N.
20230905,09:00,Zverev A.,Sinner J.
20230905,06:35,Medvedev D.,De Minaur A.
20230905,01:45,Draper J.,Rublev A.
20230905,01:40,Alcaraz C.,Arnaldi M.
20230904,07:20,Gojo B.,Djokovic N.
20230904,06:15,Stricker D.,Fritz T.
20230904,03:50,Hijikata R.,Tiafoe F.
20230904,00:15,Paul T.,Shelton B.
20230903,10:50,Medvedev D.,Baez S.
20230903,07:30,Zverev A.,Dimitrov G.
20230903,05:20,Jarry N.,De Minaur A.
20230903,03:05,Wawrinka S.,Sinner J.
20230903,02:40,Rinderknech A.,Rublev A.
20230903,01:00,Arnaldi M.,Norrie C.
20230903,00:10,Alcaraz C.,Evans D.
20230902,23:10,Mmoh M.,Draper J.
20230902,09:50,Djere L.,Djokovic N.
20230902,07:30,Gojo B.,Vesely J.
20230902,07:10,Mensik J.,Fritz T.
20230902,04:20,Stricker D.,Bonzi B.
20230902,04:00,Zhang Z.,Hijikata R.
20230902,02:35,Mannarino A.,Tiafoe F.
20230902,01:40,Shelton B.,Karatsev A.
20230902,00:15,Paul T.,Davidovich Fokina A.
20230901,10:05,Medvedev D.,O'Connell C.
20230901,07:15,Alcaraz C.,Harris L.
20230901,07:10,Meligeni Alves F.,Baez S.
20230901,06:20,Van De Zandschulp B.,Evans D.
20230901,05:15,Monfils G.,Rublev A.
20230901,04:10,Jarry N.,Michelsen A.
20230901,03:35,Hsu Y. H.,Norrie C.
20230901,03:25,Etcheverry T. M.,Wawrinka S.
20230901,03:00,Wu Y.,De Minaur A.
20230901,02:50,Fils A.,Arnaldi M.
20230901,01:45,Berrettini M.,Rinderknech A.
20230901,00:10,Murray A.,Dimitrov G.
20230831,23:15,Zverev A.,Altmaier D.
20230831,23:10,Draper J.,Hurkacz H.
20230831,23:10,Mmoh M.,Isner J.
20230831,23:10,Sonego L.,Sinner J.
20230831,09:40,Varillas J. P.,Fritz T.
20230831,07:20,Ofner S.,Tiafoe F.
20230831,06:50,Ruud C.,Zhang Z.
20230831,06:45,Droguet T.,Mensik J.
20230831,06:40,Cerundolo J. M.,Davidovich Fokina A.
20230831,05:10,Paul T.,Safiullin R.
20230831,04:55,Hijikata R.,Fucsovics M.
20230831,04:10,Thiem D.,Shelton B.
20230831,03:35,Mannarino A.,Marozsan F.
20230831,02:20,Vesely J.,Cerundolo F.
20230831,02:00,Zapata Miralles B.,Djokovic N.
20230831,01:50,Bonzi B.,Eubanks C.
20230831,01:15,Djere L.,Gaston H.
20230831,01:15,Karatsev A.,Carballes Baena R.
20230830,23:25,McDonald M.,Gojo B.
20230830,23:25,Tsitsipas S.,Stricker D.
